Business_ID,Business_Type,Industry_Sector,Years_in_Operation,Monthly_Revenue,Monthly_Expenses,Loan_Repayment_History,Outstanding_Debt,Cash_Flow_Stability_Score,GST_Filings,Supplier_Payment_Delay,Ecommerce_Sales_Volume,Digital_Invoice_Payment_Rate,Credit_Default_History,Business_Growth_Rate,Macroeconomic_Risk_Score,Social_Media_Sentiment,Regulatory_Compliance_Score,AI_Credit_Score,Month
BIZ_1,High-Risk Enterprise,Manufacturing,5,4823089,1406288,Early Payment,187598,52,8777828,46,46746,0.91,0,-9.98,73,0.21,64,603,Jan
BIZ_1,High-Risk Enterprise,Manufacturing,5,4118511,1414769,Delayed,187598,48,8777828,46,46746,0.91,0,-9.98,73,0.21,64,569,Feb
BIZ_1,High-Risk Enterprise,Manufacturing,5,4799840,1372536,Delayed,187598,50,8777828,46,46746,0.91,0,-9.98,73,0.21,64,605,Mar
BIZ_1,High-Risk Enterprise,Manufacturing,5,4206406,1278710,Defaulted,187598,51,8777828,46,46746,0.91,0,-9.98,73,0.21,64,570,Apr
BIZ_1,High-Risk Enterprise,Manufacturing,5,4416209,1303299,Defaulted,187598,50,8777828,46,46746,0.91,0,-9.98,73,0.21,64,610,May
BIZ_1,High-Risk Enterprise,Manufacturing,5,4870348,1187134,Early Payment,187598,50,8777828,46,46746,0.91,0,-9.98,73,0.21,64,599,Jun
BIZ_2,MSME,Manufacturing,5,4854473,1914232,On Time,141521,79,5538757,19,39705,0.78,0,2.31,97,0.43,62,902,Jan
BIZ_2,MSME,Manufacturing,5,4472925,1871196,Delayed,141521,76,5538757,19,39705,0.78,0,2.31,97,0.43,62,884,Feb
BIZ_2,MSME,Manufacturing,5,5087252,1684929,Defaulted,141521,75,5538757,19,39705,0.78,0,2.31,97,0.43,62,832,Mar
BIZ_2,MSME,Manufacturing,5,4894589,1730392,Delayed,141521,74,5538757,19,39705,0.78,0,2.31,97,0.43,62,874,Apr
BIZ_2,MSME,Manufacturing,5,5269882,1766642,On Time,141521,77,5538757,19,39705,0.78,0,2.31,97,0.43,62,856,May
BIZ_2,MSME,Manufacturing,5,5308733,1616332,On Time,141521,79,5538757,19,39705,0.78,0,2.31,97,0.43,62,850,Jun
BIZ_3,High-Risk Enterprise,Services,3,744071,1310103,On Time,50290,71,9883893,18,7131,0.83,0,-0.35,63,0.31,90,458,Jan
BIZ_3,High-Risk Enterprise,Services,3,826364,1215102,Defaulted,50290,75,9883893,18,7131,0.83,0,-0.35,63,0.31,90,440,Feb
BIZ_3,High-Risk Enterprise,Services,3,896055,1266329,Delayed,50290,71,9883893,18,7131,0.83,0,-0.35,63,0.31,90,439,Mar
BIZ_3,High-Risk Enterprise,Services,3,885866,1122891,Defaulted,50290,71,9883893,18,7131,0.83,0,-0.35,63,0.31,90,441,Apr
